,Title,Location,Company,Salary,Description
168,Danish QA Language Tester & Translator (Home-Working),Glasgow,Pole To Win International,,"Danish QA Language Tester
Project by Project Basis throughout 2020
Full Training Provided
Home-Working, local to Glasgow
This is a studio based role, working for home initially.
QA Localisation testing involves performing language checks on a range of yet-to-be-released games for a variety of platforms including PC, Xbox One, PS4, Wii, PS Vita, DS, Switch, VR and various mobile and tablet devices. You would be working on top gaming titles for some of the biggest publishers in the world.
As one of our QA Localisation Testers, you will be the very first person to see the game in its entirety – translated text, images and the rest of the user interface all together. You’ll get to experience the project in the way it will be consumed by the end users. You will work in a multilingual project team, ensuring that game is free from grammatical errors, cultural inconsistencies and ultimately ensuring that the game is accurately localised into the target language.
Candidates with previous translation, proofreading, copywriting or linguistic experience and those with a passion for languages, culture or gaming would also be interested in this position
What you’ll be doing
Identifying spelling, grammar, punctuation and other language errors.
Ensuring console manufacturer guidelines are adhered to.
Logging details of errors/issues found and providing suggestions for improvements.
Ensuring accuracy of translation within context.
Ensuring consistency of terminology and imagery.
Hunting for missing/wrong content.
Ensuring the proper date/calendar/character display format.
Writing reports on errors/bugs found.
Ad hoc translation.
Assist with Functionality QA when required
Requirements
What we’re looking for
A near native fluency level of the required language and English.
Strong cultural understanding of the above langiages.
Broadband, Computer, Microphone & Speakers, Quiet Working Environment.
Excellent attention to detail, strong communication skills and knowledge of Microsoft Excel.
Self-motivated, a proactive attitude with the ability to work productively and collaboratively within a multilingual team.
A logical, methodical approach with good analytical and problem-solving skills.
Excellent observation and attention to detail skills with patience, perseverance and good concentration
A willingness to do repetitive tasks and adapt to ever-changing technology.
An ability to work either alone or in a project team, sometimes under pressure to meet deadlines.
Knowledge of the current generation of games consoles and PCs, and the latest mobile platforms (non essential).
An interest in, and understanding of the video game industry (non essential).
An aptitude for, and a keen interest in languages and translation (non essential).
A mandatory background check will be performed prior to commencing employment.
Benefits
What we offer
You will be working for the pre-eminent global provider of specialist services to the games industry and provided with full training and the opportunity to work on some of the biggest games titles in the world.
Who we are
Since 1994, Pole To Win has been providing outsourced Quality Assurance, Customer Experience and Localisation Services to the Interactive Media, Internet of Things (IoT), Technology and e-Learning markets. Our service lines include Quality Assurance, Quality Engineering, Localisation, Translation, Customer Experience, Talent Acquisition, Audio Production.
We are also regularly recruiting the following languages: Arabic, Burmese, Bulgarian, Brazilian Portuguese, Chinese (Traditional), Chinese (Simplified), Croatian, Czech, Danish, Dutch, English (Australian), English (UK), English (US), Finnish, French (EU), French (Canadian), German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Luxembourgish, Malay, Norwegian, Polish, Portuguese (EU), Portuguese (Brazilian), Romanian, Spanish (Latin), Spanish (EU), Russian, Swedish, Tagalog, Thai, Turkish, Ukrainian and Vietnamese for current and future ad-hoc global Quality Assurance and Customer Support Operations throughout 2020.
www.ptw.com
www.side.com"
169,Head Chef/Kitchen Manager,Manchester M1 3HW,Jasmine Grill,,"Jasmine Grill - IMMEDIATE START
We are a busy local restaurant located at the heart of the city of Manchester.
We pride ourselves on the quality of our food which is a big reason why we are often rated as the best Turkish/Lebanese restaurant in in the city. Please feel free to check our reviews on trip advisor if you don't believe us: -)
We are looking for an experienced Head Chef who can carry this forward and help us to continue offering this supreme dining experience. You will be responsible for the kitchen's day to day operations as well as stock control, compliance, as well as managing, supervising and training your kitchen team. You will be expected to ensure high standards of hygiene are maintained and the kitchen team is fully COVID-19 aware.
The ideal head chef will have 5+ years experience in this role and at least 3 years experience in Lebanese cuisine. You must be able to demonstrate leadership, knowledge of COSHH, HSE at work and EHO requirements and have a food hygiene qualification.
We have a tight knit and very friendly team who will be very happy to welcome you into our group so please apply if you feel you fit the criteria.
A highly competitive wage - to be discussed at interview
Job Type: Full-time
Salary: £25,000.00-£30,000.00 per year
Additional pay:
Tips
Benefits:
Discounted or free food
Schedule:
10 hour shift
Holidays
Monday to Friday
Overtime
Weekends
COVID-19 considerations:
We have implemented the below:
Temperature checks for all staff and customers on arrival
Hand sanitisers for staff and customer and
Masks and gloves worn by our staff
Abiding by social distancing measures were possible
Experience:
Lebanese/Turkish cuisine: 3 years (Required)
Head chef: 2 years (Required)
Licence:
Food hygiene (Required)
Work remotely:
No"
170,Chef de Partie,London N22,Tarshish,,"Chef
Company Summary
Tarshish Restaurant & Bar is one of the most popular and successful Restaurant in North London. Recently Tarshish was awarded the Best Fine Dine Restaurant in London by British Kebab Awards 2018.
Located in the heart of North London, Tarshish Restaurant & Bar has – roof top casual dining restaurants and a stylish Lounge Bar.
A real feature of the Tarshish Restaurant is its roof top seating. The menu uses novel flavours and texture combinations, inspired by Turkish and Mediterranean cousin.
The Lounge Bar is a must-visit destination, with an extensive cocktail and food menu, live music and performances by some of the top DJs. With its eclectic furnishing and intimate lighting, Tarshish Lounge Bar works perfectly for private parties and special events.
Recruiting Experienced Chef ** 2 years waiting experience essential
Job Summary
We are looking for an experienced Chef who has a passion for delivering the highest levels of service to our guests.
As a chef you will be expected to:
Carry out food preparation as required to expected timings and quality as directed by Kitchen Management
Ensure recipes and standards are adhered to always
Minimise waste of food products always
Work cleanly and tidily always and ensure you are working to best practices
Carry out cleaning of all areas in the kitchen and record to comply with Health & Safety legislation
Ensure all food is prepared hygienically and safely always
Ensure food is stored and kept at the correct temperatures always
To report any areas of risk to the management and ensure the kitchen areas are kept safe and hazard free
To ensure all food is covered, stored and dated correctly always
Make sure you fill out all required health and safety documentation as directed
To report for duty punctually, wearing the correct uniform and protective clothing and adhering to specified grooming standards
Have an enthusiastic, hands-on and pro-active approach at all times
Ensure all kitchen equipment is used, cleaned and maintained properly at all times
Report of all potential hazards and maintenance issues
*
This is a great opportunity to work with one of North London best Restaurant.
If you have love of food, beverages , art and above all service, this could be the ideal opportunity for you!
Job Type: Full-time
Salary: £10.00-£15.00 per hour
Experience:
restaurant: 2 years (Preferred)"
171,Thai QA Language Tester & Translator,Glasgow,Pole To Win International,,"Thai QA Language Tester
Project by Project Basis throughout 2020
Full Training Provided
Home-Working, local to Glasgow
This is a studio based role, working for home initially.
QA Localisation testing involves performing language checks on a range of yet-to-be-released games for a variety of platforms including PC, Xbox One, PS4, Wii, PS Vita, DS, Switch, VR and various mobile and tablet devices. You would be working on top gaming titles for some of the biggest publishers in the world.
As one of our QA Localisation Testers, you will be the very first person to see the game in its entirety – translated text, images and the rest of the user interface all together. You’ll get to experience the project in the way it will be consumed by the end users. You will work in a multilingual project team, ensuring that game is free from grammatical errors, cultural inconsistencies and ultimately ensuring that the game is accurately localised into the target language.
Candidates with previous translation, proofreading, copywriting or linguistic experience and those with a passion for languages, culture or gaming would also be interested in this position
What you’ll be doing
Identifying spelling, grammar, punctuation and other language errors.
Ensuring console manufacturer guidelines are adhered to.
Logging details of errors/issues found and providing suggestions for improvements.
Ensuring accuracy of translation within context.
Ensuring consistency of terminology and imagery.
Hunting for missing/wrong content.
Ensuring the proper date/calendar/character display format.
Writing reports on errors/bugs found.
Ad hoc translation.
Assist with Functionality QA when required
Requirements
What we’re looking for
A near native fluency level of the required language and English.
Strong cultural understanding of the above langiages.
Broadband, Computer, Microphone & Speakers, Quiet Working Environment.
Excellent attention to detail, strong communication skills and knowledge of Microsoft Excel.
Self-motivated, a proactive attitude with the ability to work productively and collaboratively within a multilingual team.
A logical, methodical approach with good analytical and problem-solving skills.
Excellent observation and attention to detail skills with patience, perseverance and good concentration
A willingness to do repetitive tasks and adapt to ever-changing technology.
An ability to work either alone or in a project team, sometimes under pressure to meet deadlines.
Knowledge of the current generation of games consoles and PCs, and the latest mobile platforms (non essential).
An interest in, and understanding of the video game industry (non essential).
An aptitude for, and a keen interest in languages and translation (non essential).
A mandatory background check will be performed prior to commencing employment.
Benefits
What we offer
You will be working for the pre-eminent global provider of specialist services to the games industry and provided with full training and the opportunity to work on some of the biggest games titles in the world.
Who we are
Since 1994, Pole To Win has been providing outsourced Quality Assurance, Customer Experience and Localisation Services to the Interactive Media, Internet of Things (IoT), Technology and e-Learning markets. Our service lines include Quality Assurance, Quality Engineering, Localisation, Translation, Customer Experience, Talent Acquisition, Audio Production.
We are also regularly recruiting the following languages: Arabic, Burmese, Bulgarian, Brazilian Portuguese, Chinese (Traditional), Chinese (Simplified), Croatian, Czech, Danish, Dutch, English (Australian), English (UK), English (US), Finnish, French (EU), French (Canadian), German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Luxembourgish, Malay, Norwegian, Polish, Portuguese (EU), Portuguese (Brazilian), Romanian, Spanish (Latin), Spanish (EU), Russian, Swedish, Tagalog, Thai, Turkish, Ukrainian and Vietnamese for current and future ad-hoc global Quality Assurance and Customer Support Operations throughout 2020.
www.ptw.com
www.side.com"
172,Turkish Localisation QA Senior Tester,Middlesex,SEGA Development Services,,"PERMANENT CONTRACT
LOCALISATION TEAM
BASED AT SEGA HQ IN BRENTFORD, WEST LONDON
REPORTING TO THE LOCALISATION QA PROJECT MANAGERS

A BIT ABOUT SEGA
SEGA is one of the leading interactive entertainment companies in the world, with our European HQ based in West London and our five development studios spanning the UK, Bulgaria, France and Canada. Known for quality and creativity above all else, our studios include Sports Interactive, Amplitude Studios, Two Point Studios, The Creative Assembly and Relic Entertainment.
At the heart of SEGA is our publishing team based in London, where we help the studios bring their creative vision to life. Here we have a hardworking bunch of people spanning Tech, Sales, Marketing, Finance, QA and more.
Together, we drive the continued success and evolution of our Western business through living our company values of always collaborating, being entrepreneurial in spirit, having a winning mentality and focusing on uncompromising quality.

WORKING THE SEGA WAY
We believe that making the best games relies on having the best people, so we make sure that we look after ours…
For our gaming buffs, you can get involved in our lunchtime gaming sessions in our games lounge, regular gaming tournaments and free SEGA games on Steam
If you're more of a foodie, you can take advantage of Icecream Wednesdays or our fresh fruit and cereal every single day
Fitness fanatics will love our discounted gym membership, ride to work scheme, workout area and bootcamps in the park. You can find your zen with weekly yoga classes as well as in-house massage therapy
You'll have access to a comprehensive benefits package that includes life assurance, income protection, private healthcare & dental insurance schemes and an enhanced contributory pension scheme. We offer competitive salaries and a fantastic bonus scheme so that you can stay motivated and focused on making SEGA the best it can be
We hold regular lunch & learn sessions, company updates at the world-famous BAFTA theatre in Central London and Summer and Christmas parties that you’ll want to brag to your mates about! What’s not to love?
We pride ourselves on having flexible working hours to ensure that you have a life outside of the office
We want people of all backgrounds to see themselves represented and included in our work, so we actively seek to diversify our team and bring more voices to the table. All applicants are welcome!
And that’s just the tip of the iceberg. Check out our Careers website to find out why we are a workplace you’ll never want to leave!

POSITION OVERVIEW
As a Localisation QA Senior Tester, you’ll be the key point of contact for your language within Localisation QA. You will test SEGA products and verify any localised assets, whilst guiding and mentoring the less experienced testers in the team. You’ll be responsible for linguistic quality and ensuring that the correct terminology and glossaries are used for the relevant territory. You’ll also assist with casting and audio and will be the final point of escalation to ensure quality within the language.

KEY RESPONSIBILITIES
Test SEGA products for linguistic correctness.
Run test cases and localisation checks in the respective language.
Identify linguistic issues and report them in the bug database, suggesting fixes to defect/bugs within the assigned products.
Edit and fix master text files/text databases and provide translation as necessary.
Complete localisation compliance checks and act as a point of reference for naming conventions for the assigned language.
Verify localised assets related to the product in testing.
Support with audio casting and the audio assets verification process, acting as the final point of escalation for your territory.
Review and verify the team’s bugs, edits and suggestions for correctness, grammar/spelling and adherence to first party terminology and internal glossaries.
Ensure consistency of process is applied within your respective language team.
Provide feedback and linguistic/IP direction for the testing team and external translators in order to maintain quality and consistency within the language and the products.
Be a point of reference and final point of escalation for the relevant language within the Localisation Department.
Act as a guide and mentor to the less experienced testers on the relevant language.
Create standardised and measurable quality report on the assigned language.
Work together with the broader localisation team to maintain glossaries for the SEGA IPs for the assigned languages.
Provide performance review data to the LQA Project Managers and Associate Leads.
When necessary, support the LQA Project Managers and LQA Associate Leads with project administration.

KNOWLEDGE, SKILLS & EXPERIENCE
Experienced tester, able to tackle the most challenging tasks with ease and adapt to any project requirement.
Excellent knowledge of SEGA’s IPs and products.
Excellent working knowledge of the software tools in use at SEGA (test case management and text editing tools).
Excellent knowledge of first party naming conventions.
Working knowledge of CAT tools (MemoQ).
Excellent linguistic knowledge and deep understanding of your contracted language.
Understanding of the linguistic trends and consumer expectations of the target market, able to deliver precise, relevant and resonant language for that territory and IP.
Clear, concise and professional communicator, both in English and your contracted language.
High proficiency with Microsoft Office.
Reliable, with high work standards and the willingness to meet and exceed expectations.
Flexible and adaptable to different LQA tasks and projects.
Proven ability to maintain focus and commitment.
Passion and enthusiasm for the role and the company, capable of motivating and inspire others."
173,Field Sales Manager,Ipswich,Touch2Success,,"About Our Company:
Foodhub is an international brand and market leader within the IT / Business Solutions sector
serving the Restaurant and Takeaway industry. A challenging progressive culture and a genuine
opportunity to grow your career in this new vacancy.
Job Description:
Someone who has natural communication and rapport building ability, and can show how this was
harnessed in previous positions.
➢ Accustomed to pressured target driven environments and takes ownership.
➢ Able to work unsupervised is very organized and can adhere to a system.
➢ Has field experience, or takeaway sector experience or relevant technical experience.
➢ Sales and CRM experience is important.
➢ Effective listener, who can identify needs and propose mutually valuable solutions.
➢ Driving license and the eligibility to work full time in the UK is an absolute must.
➢ Additional language fluency is a bonus, particularly Cantonese, Mandarin, Urdu, Hindi, Thai, Turkish,
and Arabic.
➢Willing and ready to work from 2 pm till 11 pm and later if required. Sunday to Thursday.
Roles and Responsibilities:
Cover a given region and support all of our current client base within the region.
➢ Provide effective sales/service, represent our business in a professional productive way to further
increase our brand's value.
➢ Solid grasp of the product range and market along with the ability to deliver sensible value-oriented
proposals with ROI in mind.
➢ Ensure that each individual client is making maximum use of the system, and advice on strategy,
marketing, and business development harnessing the software.
➢ Be a point of reference for all things system oriented as well as provide business support earning trust
and gaining further sales and referrals.
➢ Update all activity, and information promptly on the CRM and meet all given KPI metrics for both
support and sales within your area.
➢ Selling more of our product range and marketing products into existing customers, such as apps,
menus, SEO packages, etc.
➢ Generating new business sales via cold calling, setting appointments and canvassing on the ground.
➢ Liaise with our International Teams to ensure that all aspects of the customer's needs are addressed
efficiently.
➢ Display integrity, efficiency, and professionalism are vital at all times.
➢ Developing new business is a key component of this role, so disciplined consistent outbound activity is required to bring in monthly new accounts.
Sales Minimum Expectations:
➢ Cold Call visits to 5 new businesses.
➢ All the data are taken to be logged on to Zoho as per company requirements.
➢ Follow up calls or visits to the pipeline of leads.
➢ Ten sales consisting of new business and referrals.
➢ Support visits made to check on the progress of the new business
Job Type: Permanent
Salary: £20,000.00-£25,000.00 per year
Experience:
field sales: 3 years (Required)
Language:
Cantonese/Mandarin or Urdu/Hindi/Arabic or Thai/Turkish (Required)
Work remotely:
No"
174,Director - Open Banking Product Management (Regional),London,MasterCard,,"Open Banking is a worldwide phenomenon, gathering pace over the recent years and set to transform many aspects of retail financial services (as well as many adjacent industries). There are a number of markets already live with various forms of open banking offerings (e.g. EEA markets thanks to PSD2, or US owing to long-standing market driven initiatives). In most other markets, open banking is at earlier stages of development, yet already seeing plenty of attention from established players as well as new entrants.

Mastercard have built an initial suite of Open Banking Solutions and are now in the process of bringing them to market, commercialising and enhancing them, predominantly to date in Europe. See www.mastercard.com/openbanking. Over the last few years we have established a large, cross-functional team that is focusing on product design and delivery.

This new role is pivotal in enabling Mastercard to establish open banking presence outside of the EEA. Key aspects of the role:
(1) designing and executing the appropriate strategy for establishing open banking connectivity in key markets within the region; and
(2) driving the localisation and deployment of selected global Mastercard Open Banking Solutions in key markets within the region.

In the process, the individual will work closely with, and where appropriate influence/persuade:
Regional O&T technical experts focusing on scoping the technology aspect of the open banking rollout
Regional IMK business development function, to build understanding of the needs of local key customers (banks as well as fintechs, merchants and others), as well as to commence early stage deployment conversations
Regional Corporate Development and Procurement personnel if the local deployment requires use of external supplier(s)
Regional Data & Strategy leads, to jointly drive the data requirements behind local products and services
The central O&T teams that will drive product localisation, as well as Regional Customer Delivery and Legal on setting up new relevant onboarding processes and contracts

The individual will be an expert on the relevant features, benefits, and the needs of current and future customers. The individual will also be a key member of the Mastercard Open Banking Global Product team responsible for defining and executing the product strategy for the overall product portfolio.

Role is expected to require some travel to customer engagements, events etc. (<30%)

You will:

Design optimal strategy for product deployment and localisation across the key markets within the region, factoring in the current and projected future state of the relevant markets, competitors, regulatory pressures etc. Accompanying that, you will develop and maintain cost forecasts behind connectivity build, as well as costs, revenue and sales forecasts behind localised Open Banking Solutions with Sales, O&T and Finance that stand the test of time.
Work with third party companies throughout the sourcing, contracting and deployment phase to drive regional execution of our strategy
Actively engage potential customers and partners within the region, and drive the process of reflecting their needs in the local deployment of the relevant open banking products
Be a regional internal expert on open banking as a whole, staying engaged with key ongoing market developments, regulatory interventions, competitor activity, events and conferences etc.
Act as “Regional Product Owner” through the development life-cycle working as an integrated part of the delivery team utilising agile development techniques. In some circumstances it will be in the context of Mastercard internal teams, in others with third party suppliers / partner. You will actively translate specifics of the local market (e.g. data protection, data privacy, on-soil requirements etc.) to product requirements, feed them into relevant product localisation planning
While the role commences as a ‘individual contributor’, the individual is expected to over time be involved in growing the regional product footprint of open banking resources, with significant potential for moving to a position of managing other people within ~6-12 months. In this regard, the role will be responsible also for training and up-skilling any new team members.




All About You

Skills and experience required for this role are:
Experience of banking, payments or FinTech sectors.
Successful B2B product development and/or management experience
Experience of engaging with external customers (in a sales or relationship management role)
Experience of engaging across the organisation with internal colleagues and third party suppliers (e.g. IT, Operations, finance and marketing)
Strong analytical skills and financial literacy
Self-starter with strong ability to work remotely, without hands-on local direction
Ability to plan and organise effectively and deliver to deadlines.
An attention to detail, a ‘right first time’ approach.
Able to build new relationships on one’s own, and communicate at all levels within the business, clearly and concisely
The ability to work in a cross-functional team and in a matrix organisation


Desirable skills and experience:

Good Knowledge of Open Banking
Working Knowledge of APIs and applications that deploy them
Product Management experience of a business or consumer facing application or technology service


Desirable language skills (in addition to fluent English):

EUR: Turkish / Russian / Ukrainian
Due to COVID-19, most of our employees are working from home. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.
Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.
If you require accommodations or assistance to complete the online application process, please contact reasonable.accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly."
175,Commercial Property Solicitor (Turkish Speaking),East London,JMC Legal Recruitment,,"This Legal 500 ranked firm are currently seeking to hire a Turkish speaking Commercial Property Solicitor to join the firms East London office.

This firm are entrepreneurial, forward-thinking, innovative and very dynamic. The practice has been established for more than 50 years and now stand at 75 staff. The firm has two offices; they have recently opened a prestigious Central London office in one of the West End's most luxurious buildings. They are Legal 500, and Chambers ranked and are tiered across a number of practice areas.

The firm is currently growing and is very busy with a surge of new work, increasingly with an International flavour to the work that they do. The practice has a strong leadership team, with well-thought-out, strategic growth planned over the next 12/24 months.

The practice is people focussed and place staff at the heart of what they do. They take the time to really invest in their workforce, and as a result, have an excellent staff retention rate with an increasing number having been at the firm for double-digit years, they also have a growing number of home-grown Partners.

You will find an excellent opportunity for career investment; the firm are currently succession planning, this tied in with their growth plans, makes now an exciting time to join, with fast-track progression on offer for the right candidates.

The firm deal with an ever-growing quantity of work with an International flavour. Whether this is clients with International businesses and assets or cross-border legal matters, you will find a good variety to the work that they do. They currently deal with markets that include Turkey, India, and China.

The role

The firm are currently seeking to hire a Turkish speaking Commercial Property Solicitor to join the firms East London office.
You will deal with a broad range of work which will include; Sales and purchases, commercial leases, landlord and tenant, development and investment work.
You sometimes deal with work that has an International flavour
This role has excellent progression prospects attached; this role would prove to be an excellent opportunity for someone that may have hit a glass ceiling in their current role
You will deal with a very broad range of work making for an interesting caseload
Typical values of matters will range from £500k - £50million
Requirements
You will be a Commercial Property Solicitor with a minimum of 4 years PQE (there is no upper limit to the amount of PQE and applications are invited from even the most experienced of candidates)
You will have good conversational Turkish, written would be a plus but not essential
You will be commercially minded and have experience building business
You should be ambitious and wanting to progress in your career
Renumeration
Salary is competitive and negotiable depending on your level of PQE
You will also earn a lucrative bonus structure, allowing you to significantly increase your earnings
You will also receive an industry leading benefits package
This is a stand-out opportunity, with good prospects, for a Commercial Property to join this Legal 500 firm based in their East London office.

Apply now for immediate consideration or feel free to give me a call for a confidential conversation."
176,Account Executive Enterprise - Emerging Markets,London,OneTrust,,"Strength in Trust
Our goal at OneTrust is to bring the power of trust to companies all over the world. Using cutting-edge technology and a real-world approach to ethics, compliance, privacy, security, and third-party risk, we've created a no-nonsense platform to help supercharge the global push for trust.
The Challenge
OneTrust is investing significant resources to deliver successful revenue increase in the Enterprise client segment (1500 Employees +). Enterprise Account Executives have a critical role and responsibility to deliver new client acquisition in zero-base accounts, while also ensuring successful relationships and revenue growth with existing customers.
Your Mission
Uncover net new business opportunities and successfully take through the sales cycle to closure
Demonstrate a knowledgeable understanding of the full array of our offerings to answer questions and make recommendations when speaking to customers/prospects
Understand customers' business needs and take a consultative approach in handling aspects of the sales cycle to include proposal development and product demonstrations
Sales Executives will be responsible for qualifying sales opportunities, setting proper customer expectations, handling negotiations and accurately forecasting to management
Communicate effectively with all levels (C, SVP, VP, Dir, etc..) and key decision makers
Work collaboratively with other OneTrust employees across the organization to ensure customer expectations are met and exceed when possible
Meet and exceed monthly, quarterly and annual qualified meeting and revenue goals
You Are
An excellent Communicator
A natural business hunter
Consultative in your sales approach
Structured in your sales processes
Coachable and open to new ideas
Willing to travel up to 30% within the region
Your Experience Includes
Minimum 3-5 years selling B2B software or related technologies (RegTech & FinTech).
Effective sales presentation skills, forecasting, and planning skills
Familiarity with Salesforce.com or similar CRM solutions.
Proven track record of meeting and exceeding target goals
Fluent / Business Native in one or more of the following Romanian/Hungarian/Bulgarian/Turkish
Extra Awesome
Experience in Privacy / Security / Third Party risk / Consent management
CIPP/E Certified
Knowledge of the Legal/regulatory market
Our Commitment to You
When you join OneTrust you are stepping onto a launching pad — the countdown has begun. The destination? A career without boundaries working alongside a diverse and inclusive crew who is passionate about doing meaningful work. As a pioneer, your voice and expertise will help chart the direction of an entirely new industry — Trust. Our commitment to putting people first starts with you. Your growth is part of the mission. Our goal is to give you the power to embark on the next phase of your uniquely, unique career
OneTrust provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, colour, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by local laws."
177,Lawyer – Commercial Property (Turkish Speaking),London,Law Staff Legal Recruitment,,"Quick Apply Create a Job Alert
CV upload:
An up to date CV is required to register you so that we may find vacancies that best suit your experience.
Browse
Accepted file types: .doc, .docx, .pdf
Submit
Lexcel accredited firm in London seeks a Turkish speaking Commercial Property Lawyer on a full-time, permanent basis.

This is an opportune time for a skilful solicitor or legal executive to join our client’s multi-accredited practice located in East London. The successful candidate will manage a complex caseload, whilst providing high quality advice across a broad range of commercial property matters. Fluency in Turkish is essential for this role.

Responsibilities
Acquisitions
Disposals
Developments
Real estate
Landlord and tenant matters
Deeds of variation
Licences to assign
Lease extensions
Granting, drafting and amending leases

The Candidate
Solicitors and legal executives with three to six years’ PQE
Experience in commercial property is essential
Fluency in Turkish is required
A strong communicator with exceptional client care skills
Possess excellent drafting and negotiation skills
Work well when under pressure to meet tight deadlines whilst maintaining high levels of accuracy

The Firm
Our client is a long-established practice with strong roots in London who offer the best quality services to individuals both locally and further afield. With a reputation for providing excellent and tailored services to suit individual client needs, the firm has acquired a loyal client following and numerous accreditations including the Lexcel quality mark. They are now seeking a Commercial Property Lawyer for their London office.

Lawyer – Commercial Property (Turkish Speaking)

For further details of this Turkish speaking Commercial Property Solicitor vacancy, please contact Simon on
Show phone number
quoting reference SS31450.

PLEASE CHECK YOUR EMAIL (INCLUDING SPAM FOLDER) FOR CONFIRMATION YOUR APPLICATION HAS BEEN RECEIVED.
Please follow our agency on LinkedIn, where we post up to date information, jobs and case studies.

Law Staff Legal Recruitment Limited are a recruitment agency, all vacancy descriptions are of general content and no responsibility is taken for salary or PQE differences. The salary range shown on the current advert may not have been an indication provided by the client and could be a guideline from our research team as a broad indication on salary scales in the market, dependent on experience.

By applying for this position at Law Staff Legal you confirm that you have the experience, training, qualifications and any authorisation required by law or by any professional body, which the position requires and that you are willing to work in the position.

By applying for this position you give Law Staff Legal Recruitment Limited authorisation to submit your curriculum vitae to the hirer. If you do not wish us to make this application on your behalf please email informing Law Staff Legal Recruitment Limited of such. Please note however, once an introduction has been made by Law Staff Legal Recruitment it cannot be withdrawn this and you are bound by the terms as stated here in our terms supplied on our web site.

In accordance with The Conduct of Agencies and Businesses Regulations Act of 2003, Law Staff Legal Recruitment Limited require all candidates applying for a position to provide via email, fax or post, a copy of photographic identity and proof of address.

Please also note that all communication, including telephone calls, with Law Staff Legal Recruitment Limited are recorded and monitored for training and compliance purposes.

To view Law Staff Legal Recruitment Limited's candidate registration terms please go to our website.

As part of Law Staff Legal Recruitment Limited's candidate registration and care process, all successful applications are responded to within 7 working days. If you have not been contacted within this timescale your application has been unsuccessful on this occasion."
178,Health Care Assistant - Turkish Speaking,London E10,Aspray House Ltd,,"36 Hours per week
To share with other staff in meeting the personal care needs to residents in a way that respects the dignity of the individual and promotes independence and to help in the general day-to-day activities of the home. Care provided by Healthcare Assistants is expected to include care that would reasonably be given by members of the resident’s own family and is not expected to include tasks that would normally be expected to be undertaken by a Nurse.
1.To assist residents who need help with getting up in the morning, dressing, undressing, washing, bathing and toileting.
2.To assist residents who have mobility problems and other physical disabilities, including incontinence; help in use and care of aids and personal equipment. To promote continence and provide catheter care as required, under the supervision of the nursing team.
3.To care for residents who are temporarily sick and needing, for example, minor dressings under the supervision of the nursing team.
4.To assist in meeting residents’ nutritional needs, including feeding as necessary.
5.To assist in the care of residents who at the terminal stage of their illness.
6.To help in the promotion of mental and physical activity of residents through talking to them, taking them out. Sharing with them in activities such as reading, writing, hobbies and recreations in support of the Activities Coordinator.
7.To make and change beds; tidy rooms; do light cleaning and empty/clean commodes.
8.To inspect, launder and pass residents’ clothing that needs cleaning/mending to the Housekeeper.
9.To set tables and trays; serve meals; feed residents who need help; prepare light meals and wash up; tidy and clear the dining room.
10.To answer emergency bells, the door and the telephone; greet visitors.
11.To read and write reports; take part in staff and residents’ meetings and in training activities as directed by the Manager.
12.To comply with the home’s guidelines and policies at all times.
13.To report to a nurse or to the home Manager any significant changes in the health or circumstances of a resident.
14.To encourage residents to remain as independent as possible.
15.To attend and participate in relevant staff meetings, fire lectures, training and study days.
16.To perform key worker duties and document in key worker notes.
17.To perform such other duties as may reasonably be required.
Job Types: Full-time, Contract
Salary: £8.75-£9.25 per hour
Schedule:
12 Hour Shift
Day shift
Night Shift
Weekends
Location:
London E10 (Preferred)
Language:
Turkish (Required)
Work remotely:
No"
